order_id;customer_id;order_date;shipping_city;shipping_state;shipping_region;shipping_country;shipping_postal_code;shipping_date;shipping_mode;order_id;day;month;year;order_details_id;order_id;product_id;quantity;order_discount;order_profits;order_profit_ratio;order_sales;customer_id;customer_name;customer_segment;product_id;product_name;product_category;product_subcategory;product_manufacturer
CA-2015-100004;91;09.06.2015;New York City;New York;East;United States;10011;09.06.2015;Same Day;CA-2015-100004;6;9;2015;1;CA-2015-100004;122;62;0,1;327;0.39;837;91;Bill Shonely;Corporate;122;Alphabetical Labels for Top Tab Filing;Office Supplies;Labels;Other
CA-2015-100004;91;09.06.2015;New York City;New York;East;United States;10011;09.06.2015;Same Day;CA-2015-100004;6;9;2015;2;CA-2015-100004;764;18;0,2;565;0.26;2174;91;Bill Shonely;Corporate;764;Global Manager's Adjustable Task Chair, Storm;Furniture;Chairs;Global
CA-2015-100006;224;09.07.2015;New York City;New York;East;United States;10024;9/13/2015;Standard Class;CA-2015-100006;7;9;2015;3;CA-2015-100006;161;3;0,0;110;0.29;378;224;Dennis Kane;Consumer;161;AT&T EL51110 DECT;Technology;Phones;AT&T
CA-2015-100032;62;09.07.2015;New York City;New York;East;United States;10025;9/13/2015;Standard Class;CA-2015-100032;7;9;2015;4;CA-2015-100032;122;53;0,1;272;0.38;715;62;Arthur Wiediger;Home Office;122;Alphabetical Labels for Top Tab Filing;Office Supplies;Labels;Other
CA-2015-100032;62;09.07.2015;New York City;New York;East;United States;10025;9/13/2015;Standard Class;CA-2015-100032;7;9;2015;6;CA-2015-100032;613;16;0,1;407;0.27;1506;62;Arthur Wiediger;Home Office;613;Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red;Office Supplies;Appliances;Eureka
CA-2015-100032;62;09.07.2015;New York City;New York;East;United States;10025;9/13/2015;Standard Class;CA-2015-100032;7;9;2015;5;CA-2015-100032;1342;23;0,1;96;0.31;311;62;Arthur Wiediger;Home Office;1342;Recycled Premium Regency Composition Covers;Office Supplies;Binders;Other
CA-2015-100051;311;09.06.2015;New York City;New York;East;United States;10011;09.12.2015;Standard Class;CA-2015-100051;6;9;2015;7;CA-2015-100051;812;79;0,2;318;0.35;909;311;Greg Matthias;Consumer;812;Holmes Odor Grabber;Office Supplies;Appliances;Holmes
CA-2015-100090;246;07.08.2015;San Francisco;California;West;United States;94122;07.12.2015;Standard Class;CA-2015-100090;8;7;2015;9;CA-2015-100090;819;3;0,2;-88;-0.18;502;246;Ed Braxton;Corporate;819;Hon 2111 Invitation Series Corner Table;Furniture;Tables;Hon
CA-2015-100090;246;07.08.2015;San Francisco;California;West;United States;94122;07.12.2015;Standard Class;CA-2015-100090;8;7;2015;8;CA-2015-100090;1648;6;0,2;69;0.35;197;246;Ed Braxton;Corporate;1648;"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue";Office Supplies;Binders;Wilson Jones
CA-2015-100136;388;09.05.2015;New York City;New York;East;United States;10011;09.11.2015;Standard Class;CA-2015-100136;5;9;2015;12;CA-2015-100136;122;143;0,1;734;0.38;1931;388;John Lee;Consumer;122;Alphabetical Labels for Top Tab Filing;Office Supplies;Labels;Other
CA-2015-100136;388;09.05.2015;New York City;New York;East;United States;10011;09.11.2015;Standard Class;CA-2015-100136;5;9;2015;10;CA-2015-100136;920;130;0,3;1399;0.41;3413;388;John Lee;Consumer;920;Imation Clip USB flash drive - 8 GB;Technology;Accessories;Imation
CA-2015-100136;388;09.05.2015;New York City;New York;East;United States;10011;09.11.2015;Standard Class;CA-2015-100136;5;9;2015;11;CA-2015-100136;1216;94;0,1;64;0.21;305;388;John Lee;Consumer;1216;OIC Binder Clips;Office Supplies;Fasteners;Other
CA-2015-100136;388;09.05.2015;New York City;New York;East;United States;10011;09.11.2015;Standard Class;CA-2015-100136;5;9;2015;13;CA-2015-100136;1507;324;0,2;114;0.22;518;388;John Lee;Consumer;1507;Staples;Office Supplies;Fasteners;Other
CA-2015-100136;388;09.05.2015;New York City;New York;East;United States;10011;09.11.2015;Standard Class;CA-2015-100136;5;9;2015;14;CA-2015-100136;1600;216;0,1;264;0.34;778;388;John Lee;Consumer;1600;Unpadded Memo Slips;Office Supplies;Paper;Other
CA-2015-100293;564;3/14/2015;Jacksonville;Florida;South;United States;32216;3/18/2015;Standard Class;CA-2015-100293;14;3;2015;15;CA-2015-100293;1677;6;0,2;32;0.35;91;564;Neil Französisch;Home Office;1677;Xerox 1887;Office Supplies;Paper;Xerox
CA-2015-100328;355;1/28/2015;New York City;New York;East;United States;10024;02.03.2015;Standard Class;CA-2015-100328;28;1;2015;16;CA-2015-100328;1313;1;0,2;1;0.34;4;355;Jasper Cacioppo;Consumer;1313;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";Office Supplies;Binders;Pressboard
CA-2015-100363;376;04.08.2015;Glendale;Arizona;West;United States;85301;4/15/2015;Standard Class;CA-2015-100363;8;4;2015;17;CA-2015-100363;326;2;0,2;1;0.35;2;376;Jim Mitchum;Corporate;326;Binder Clips by OIC;Office Supplies;Fasteners;OIC
CA-2015-100363;376;04.08.2015;Glendale;Arizona;West;United States;85301;4/15/2015;Standard Class;CA-2015-100363;8;4;2015;18;CA-2015-100363;1568;3;0,2;7;0.36;19;376;Jim Mitchum;Corporate;1568;Things To Do Today Spiral Book;Office Supplies;Paper;Things To Do
CA-2015-100391;71;5/25/2015;New York City;New York;East;United States;10035;5/29/2015;Standard Class;CA-2015-100391;25;5;2015;19;CA-2015-100391;1523;2;0,0;7;0.46;15;71;Barry Weirich;Consumer;1523;Strathmore Photo Frame Cards;Office Supplies;Paper;Strathmore
CA-2015-100678;447;4/18/2015;Houston;Texas;Central;United States;77095;4/22/2015;Standard Class;CA-2015-100678;18;4;2015;21;CA-2015-100678;396;3;0,2;50;0.34;149;447;Kunst Miller;Consumer;396;Cameo Buff Policy Envelopes;Office Supplies;Envelopes;Other
CA-2015-100678;447;4/18/2015;Houston;Texas;Central;United States;77095;4/22/2015;Standard Class;CA-2015-100678;18;4;2015;23;CA-2015-100678;529;3;0,3;-18;-0.06;317;447;Kunst Miller;Consumer;529;DMI Arturo Collection Mission-style Design Wood Chair;Furniture;Chairs;DMI
CA-2015-100678;447;4/18/2015;Houston;Texas;Central;United States;77095;4/22/2015;Standard Class;CA-2015-100678;18;4;2015;22;CA-2015-100678;956;3;0,2;28;0.13;228;447;Kunst Miller;Consumer;956;Kensington Expert Mouse Optical USB Trackball for PC or Mac;Technology;Accessories;Kensington
CA-2015-100678;447;4/18/2015;Houston;Texas;Central;United States;77095;4/22/2015;Standard Class;CA-2015-100678;18;4;2015;20;CA-2015-100678;1306;2;0,2;1;0.38;3;447;Kunst Miller;Consumer;1306;Prang Dustless Chalk Sticks;Office Supplies;Art;Prang
CA-2015-100706;453;12/16/2015;Springfield;Virginia;South;United States;22153;12/18/2015;Second Class;CA-2015-100706;16;12;2015;25;CA-2015-100706;421;2;0,0;8;0.08;100;453;Laurel Elliston;Consumer;421;Case Logic 2.4GHz Wireless Keyboard;Technology;Accessories;Other
CA-2015-100706;453;12/16/2015;Springfield;Virginia;South;United States;22153;12/18/2015;Second Class;CA-2015-100706;16;12;2015;24;CA-2015-100706;1595;6;0,0;10;0.33;29;453;Laurel Elliston;Consumer;1595;Ultra Door Push Plate;Furniture;Furnishings;Ultra
CA-2015-100762;556;11/24/2015;Jackson;Michigan;Central;United States;49201;11/29/2015;Standard Class;CA-2015-100762;24;11;2015;26;CA-2015-100762;97;2;0,0;8;0.5;16;556;Nat Gilpin;Corporate;97;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;Office Supplies;Paper;Adams
CA-2015-100762;556;11/24/2015;Jackson;Michigan;Central;United States;49201;11/29/2015;Standard Class;CA-2015-100762;24;11;2015;29;CA-2015-100762;532;2;0,0;96;0.49;197;556;Nat Gilpin;Corporate;532;Dot Matrix Printer Tape Reel Labels, White, 5000/Box;Office Supplies;Labels;Other
CA-2015-100762;556;11/24/2015;Jackson;Michigan;Central;United States;49201;11/29/2015;Standard Class;CA-2015-100762;24;11;2015;28;CA-2015-100762;889;4;0,0;46;0.3;152;556;Nat Gilpin;Corporate;889;Hunt PowerHouse Electric Pencil Sharpener, Blue;Office Supplies;Art;Hunt
CA-2015-100762;556;11/24/2015;Jackson;Michigan;Central;United States;49201;11/29/2015;Standard Class;CA-2015-100762;24;11;2015;27;CA-2015-100762;1675;3;0,0;69;0.48;144;556;Nat Gilpin;Corporate;1675;Xerox 1885;Office Supplies;Paper;Xerox
CA-2015-100860;166;3/26/2015;Pomona;California;West;United States;91767;3/30/2015;Second Class;CA-2015-100860;26;3;2015;30;CA-2015-100860;1462;5;0,0;9;0.48;19;166;Cindy Stewart;Consumer;1462;Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set;Office Supplies;Labels;Smead
CA-2015-100867;274;10/19/2015;Lakewood;California;West;United States;90712;10/24/2015;Standard Class;CA-2015-100867;19;10;2015;31;CA-2015-100867;1335;6;0,2;20;0.06;322;274;Eugene Hildebrand;Home Office;1335;RCA Visys Integrated PBX 8-Line Router;Technology;Phones;RCA
CA-2015-100881;195;3/28/2015;Albuquerque;New Mexico;West;United States;87105;04.01.2015;Standard Class;CA-2015-100881;28;3;2015;32;CA-2015-100881;163;3;0,2;23;0.08;302;195;Daniel Raglin;Home Office;163;AT&T TR1909W;Technology;Phones;AT&T
CA-2015-100895;718;06.02.2015;Roswell;Georgia;South;United States;30076;06.06.2015;Standard Class;CA-2015-100895;2;6;2015;35;CA-2015-100895;866;2;0,0;107;0.3;357;718;Stewart Visinsky;Consumer;866;Hot File 7-Pocket, Floor Stand;Office Supplies;Storage;Other
CA-2015-100895;718;06.02.2015;Roswell;Georgia;South;United States;30076;06.06.2015;Standard Class;CA-2015-100895;2;6;2015;34;CA-2015-100895;1103;3;0,0;67;0.28;240;718;Stewart Visinsky;Consumer;1103;Mophie Juice Pack Helium for iPhone;Technology;Phones;Other
CA-2015-100895;718;06.02.2015;Roswell;Georgia;South;United States;30076;06.06.2015;Standard Class;CA-2015-100895;2;6;2015;33;CA-2015-100895;1414;2;0,0;3;0.31;9;718;Stewart Visinsky;Consumer;1414;Sanford Colorific Scented Colored Pencils, 12/Pack;Office Supplies;Art;Sanford
CA-2015-100916;284;10/21/2015;Newport News;Virginia;South;United States;23602;10/26/2015;Standard Class;CA-2015-100916;21;10;2015;37;CA-2015-100916;557;5;0,0;10;0.05;195;284;Frank Hawley;Corporate;557;Eldon Base for stackable storage shelf, platinum;Office Supplies;Storage;Eldon
CA-2015-100916;284;10/21/2015;Newport News;Virginia;South;United States;23602;10/26/2015;Standard Class;CA-2015-100916;21;10;2015;38;CA-2015-100916;820;4;0,0;112;0.19;591;284;Frank Hawley;Corporate;820;Hon 2111 Invitation Series Straight Table;Furniture;Tables;Hon
CA-2015-100916;284;10/21/2015;Newport News;Virginia;South;United States;23602;10/26/2015;Standard Class;CA-2015-100916;21;10;2015;36;CA-2015-100916;1417;1;0,0;1;0.31;3;284;Frank Hawley;Corporate;1417;SANFORD Liquid Accent Tank-Style Highlighters;Office Supplies;Art;Sanford
CA-2015-100972;223;11/19/2015;Salt Lake City;Utah;West;United States;84106;11/24/2015;Second Class;CA-2015-100972;19;11;2015;39;CA-2015-100972;1678;3;0,0;80;0.48;166;223;Dennis Bolton;Home Office;1678;Xerox 1888;Office Supplies;Paper;Xerox
CA-2015-101147;504;12.02.2015;Chicago;Illinois;Central;United States;60623;12.04.2015;First Class;CA-2015-101147;2;12;2015;40;CA-2015-101147;1502;1;0,8;-6;-2.65;2;504;Matt Collins;Consumer;1502;Staple holder;Office Supplies;Appliances;Staple holder
CA-2015-101175;196;12.09.2015;Mesa;Arizona;West;United States;85204;12/14/2015;Standard Class;CA-2015-101175;9;12;2015;41;CA-2015-101175;53;6;0,2;-1;-0.01;101;196;Dario Medina;Corporate;53;Acco Perma 3000 Stacking Storage Drawers;Office Supplies;Storage;Acco
CA-2015-101266;527;8/27/2015;Springfield;Virginia;South;United States;22153;8/30/2015;Second Class;CA-2015-101266;27;8;2015;42;CA-2015-101266;1689;2;0,0;6;0.48;13;527;Michael Moore;Consumer;1689;Xerox 1898;Office Supplies;Paper;Xerox
CA-2015-101364;734;12/22/2015;New York City;New York;East;United States;10011;12/26/2015;Standard Class;CA-2015-101364;22;12;2015;43;CA-2015-101364;999;13;0,2;100;0.34;297;734;Tamara Willingham;Home Office;999;Lock-Up Easel 'Spel-Binder';Office Supplies;Binders;Other
CA-2015-101392;42;12.07.2015;Seattle;Washington;West;United States;98103;12/13/2015;Standard Class;CA-2015-101392;7;12;2015;44;CA-2015-101392;112;7;0,0;70;0.26;269;42;Ann Steele;Home Office;112;Advantus Rolling Drawer Organizers;Office Supplies;Storage;Advantus
